,Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,Pivot Field Values
97,AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,App,All,18
98,AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Enr,White,3
99,AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Adm,White,5
100,AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,App,White,41
101,AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,App,Asian,14
102,AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,App,Hispanic/ Latino,7
103,AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Enr,All,7
104,AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Adm,All,11
105,AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,App,All,70
106,AITCHISON COLLEGE690220,AITCHISON COLLEGE,,,App,Inter- national,16
107,AITCHISON COLLEGE690220,AITCHISON COLLEGE,,,Adm,All,4
108,AITCHISON COLLEGE690220,AITCHISON COLLEGE,,,App,All,19
109,ALAIN LEROY LOCKE COLLEGE PREP54367,ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,App,Hispanic/ Latino,13
110,ALAIN LEROY LOCKE COLLEGE PREP54367,ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,App,African American,7
111,ALAIN LEROY LOCKE COLLEGE PREP54367,ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,App,All,20
112,ALAMEDA COMMUNITY LEARNING CTR50011,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,App,White,6
113,ALAMEDA COMMUNITY LEARNING CTR50011,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,App,All,11
114,ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Enr,White,4
115,ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Adm,White,4
116,ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,App,White,20
117,ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Enr,Asian,7
118,ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Adm,Asian,10
119,ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,App,Asian,64
120,ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Adm,Hispanic/ Latino,3
121,ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,App,Hispanic/ Latino,11
122,ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Enr,All,12
123,ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Adm,All,18
124,ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,App,All,103
125,ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,Enr,White,3
126,ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,Adm,White,3
127,ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,App,White,6
128,ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,Enr,Asian,5
129,ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,Adm,Asian,5
130,ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,App,Asian,21
131,ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,Enr,All,8
132,ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,Adm,All,8
133,ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,App,All,29
134,ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,Enr,White,4
135,ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,Adm,White,8
136,ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,App,White,20
137,ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,Enr,Asian,8
138,ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,Adm,Asian,16
139,ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,App,Asian,55
140,ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,App,Hispanic/ Latino,8
141,ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,Enr,All,13
142,ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,Adm,All,25
143,ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,App,All,91
144,ALBEMARLE HIGH SCHOOL470420,ALBEMARLE HIGH SCHOOL,Charlottesville,VA,Adm,All,3
145,ALBEMARLE HIGH SCHOOL470420,ALBEMARLE HIGH SCHOOL,Charlottesville,VA,App,All,5
146,ALEXANDER DAWSON SCHOOL60867,ALEXANDER DAWSON SCHOOL,Lafayette,CO,App,White,5
147,ALEXANDER DAWSON SCHOOL60867,ALEXANDER DAWSON SCHOOL,Lafayette,CO,Adm,All,3
148,ALEXANDER DAWSON SCHOOL60867,ALEXANDER DAWSON SCHOOL,Lafayette,CO,App,All,9
149,ALEXANDER HAMILTON HIGH SCHOOL51525,ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,Enr,White,3
